OS,Runtime,Arch,Method,Iteration,ElapsedMs,PayloadBytes,ObjectCount
macOS,net8.0,arm64,Json_Serialize,1,1.494368,723335,2000
macOS,net8.0,arm64,Json_Serialize,2,1.454796,723335,2000
macOS,net8.0,arm64,Json_Serialize,3,1.299006,723335,2000
macOS,net8.0,arm64,Json_Serialize,4,1.276202,723335,2000
macOS,net8.0,arm64,Json_Serialize,5,1.268909,723335,2000
macOS,net8.0,arm64,Json_Serialize,6,1.271833,723335,2000
macOS,net8.0,arm64,Json_Serialize,7,1.294979,723335,2000
macOS,net8.0,arm64,Json_Serialize,8,1.285909,723335,2000
macOS,net8.0,arm64,Json_Serialize,9,1.290296,723335,2000
macOS,net8.0,arm64,Json_Serialize,10,1.266537,723335,2000
macOS,net8.0,arm64,Json_Serialize,11,1.285505,723335,2000
macOS,net8.0,arm64,Json_Serialize,12,1.268776,723335,2000
macOS,net8.0,arm64,Json_Serialize,13,1.297363,723335,2000
macOS,net8.0,arm64,Json_Serialize,14,1.278919,723335,2000
macOS,net8.0,arm64,Json_Serialize,15,1.279218,723335,2000
macOS,net8.0,arm64,Json_Serialize,16,1.279599,723335,2000
macOS,net8.0,arm64,Json_Serialize,17,1.293559,723335,2000
macOS,net8.0,arm64,Json_Serialize,18,1.316493,723335,2000
macOS,net8.0,arm64,Json_Serialize,19,1.276836,723335,2000
macOS,net8.0,arm64,Json_Serialize,20,1.276867,723335,2000
macOS,net8.0,arm64,Json_Serialize,21,1.276177,723335,2000
macOS,net8.0,arm64,Json_Serialize,22,1.287537,723335,2000
macOS,net8.0,arm64,Json_Serialize,23,1.275750,723335,2000
macOS,net8.0,arm64,Json_Serialize,24,1.299949,723335,2000
macOS,net8.0,arm64,Json_Serialize,25,1.324960,723335,2000
macOS,net8.0,arm64,Json_Serialize,26,1.301386,723335,2000
macOS,net8.0,arm64,Json_Serialize,27,1.280791,723335,2000
macOS,net8.0,arm64,Json_Serialize,28,1.282524,723335,2000
macOS,net8.0,arm64,Json_Serialize,29,1.276781,723335,2000
macOS,net8.0,arm64,Json_Serialize,30,1.331734,723335,2000
macOS,net8.0,arm64,Json_Deserialize,1,2.420002,723335,2000
macOS,net8.0,arm64,Json_Deserialize,2,2.189629,723335,2000
macOS,net8.0,arm64,Json_Deserialize,3,2.165470,723335,2000
macOS,net8.0,arm64,Json_Deserialize,4,2.146267,723335,2000
macOS,net8.0,arm64,Json_Deserialize,5,2.358506,723335,2000
macOS,net8.0,arm64,Json_Deserialize,6,2.142908,723335,2000
macOS,net8.0,arm64,Json_Deserialize,7,2.134321,723335,2000
macOS,net8.0,arm64,Json_Deserialize,8,2.147676,723335,2000
macOS,net8.0,arm64,Json_Deserialize,9,2.163520,723335,2000
macOS,net8.0,arm64,Json_Deserialize,10,2.165497,723335,2000
macOS,net8.0,arm64,Json_Deserialize,11,2.150781,723335,2000
macOS,net8.0,arm64,Json_Deserialize,12,2.130467,723335,2000
macOS,net8.0,arm64,Json_Deserialize,13,2.147053,723335,2000
macOS,net8.0,arm64,Json_Deserialize,14,2.135009,723335,2000
macOS,net8.0,arm64,Json_Deserialize,15,2.132196,723335,2000
macOS,net8.0,arm64,Json_Deserialize,16,2.138170,723335,2000
